"NAME of Museum/Art Organization/Institution. Or REGION, MUSEUM TYPE, or # OF EMPLOYEES AT ORG (all museum types, profit/non-profit galleries, sizes, countries, warmly welcomed)",Role ,Department,City,Country,Starting salary ,Year of starting salary ,Current (2019) or Ending Salary,Hourly (H) /  Permanent (P) / Contingent/Finite Term Employment (C) ,"If part-time / Hourly (H) / Contingent/Finite Term Employment (C), how many hours/week",Benefits?,"Year this salary was current (if a current salary, put 2019)",Years of experience in field at time of current salary listed,Parental leave policy at organization (+ who is eligible),"Optional: Identify your gender or preferred pronouns--ND ONLY IF YOU FEEL COMFORTABLE DOING SO. It's ok to leave this blank if entering it will identify you, or if you simply don't care to answer. The data captured on this survey is never going to be a perfect, holistic overview--we are not data scientists--and so enter what you feel safe and comfortable with. ","Optional: Identify your race with your preferred designation AND ONLY IF YOU FEEL COMFORTABLE DOING SO. It's ok to leave this blank if entering it will identify you, or if you simply don't care to answer. The data captured on this survey is never going to be a perfect, holistic overview--we are not data scientists--and so enter what you feel safe and comfortable with. ","Degrees required for position when hired/If applicable, if institution helped pay for furthering your education",Visa sponsorship paid/facilitated by organization,Notes
9/11 Memorial Museum ,Exhibition Developer ,Exhibitions,New York ,USA,"58,500",2018,"58,500",P,,Yes,2019,3,,,,M.A. strongly preferred ,,
Atelier Art Services,Senior Art Handler,,Philadelphia,USA,$15 per hour,2017,$19 per hour,Hourly,32,"Health, dental, vision",2019,3,n/a,,,Bachelors degree,n/a,
Field Museum,Project Coordinator,Exhibitions,Chicago,United States,"$36,400 ",2016,"$37,870 ",H,35,"12 sicks days per year, 2 weeks of vacation, 3 floating holidays, 4 personal days, plus medical, dental, vision, 403(b)",2019,3,"Paid parental leave for 8 weeks, up to 12 weeks can be taken. Mom and dad are both eligible. ",,,Bachelors,,
Getty Museum,Imaging Technician Assistant,Photography,Los Angeles,US,"$38,472 ",2015,"$39,600 ",C,32-40,"Health, Vision",,3,,,,BA,,
Henry Art Gallery,Supervisor,Museum Services,Seattle,United States,"41,000",2017,"41,000",P,,Yes,2018,3,,,,,,
Institute Of Contemporary Art Miami,Vistor Services,,MIami,United States,,,,$15/ HR,,No,,3,Ms.,,,,,
Krannert Art Museum at University of Illinois at Urbana-Champaign,Preparator,Installation,Champaign-Urbana,USA,$9.27 ,2012,$9.27 ,H,"H, sporadic hours",no,2015,3,none/ unknown,,,Worked while in Graduate School at institution,n/a,
Lower Manhattan Cultural Council,Program Assistant,,NYC,USA,"37,000","$2,018.00 ",,P,,"Health, Dental",2019,3,,,,,,
MOCA,Gallery Attendant,Visitor Engagement,Los Angeles,United States of America,"$19,800 ",2018,"$19,800 ",Part-time,30,Partial - vacation/sick hours,2019,3,,,,Bachelor’s degree preferred,,"MOCA was recently granted $10,000,000 from Carolyn Powers, a white cis woman who regularly donates to the NRP and is an avid supporter of Donald Trump. "
MoMA,Program Coordinator,Affiliate Programs,New York,United States,"62,000",2018,"63,860",,,100% health and dental,2019,3,,,,Bachelor's,,
MoMA PS1,Gallery Associate,Visitor Engagement,"Queens, NY",United States,$14/hr,2016,$17/hr,P,"H, not allowed to work more than 13 hrs/wk",No,2019,3,,,,,,Department unionized spring 2019
Museum of Comparative Zoology,Curatorial Assistant,,Cambridge,United States,,,"$48,500.00 ",P,,Yes,2019,3,Yes,,,,,
"Museum of Fine Arts, Boston",Conservation Fellow,,Boston,USA,"$34,000 ","$2,016.00 ","$37,000 ",(C),,Yes,2019,3,,,,MA or MS,,
National Museum of African American History and Culture,Conservator,,"Washington, DC",USA,"45,000",,,C,40,None,,3,,,,,,
New York Historical Society,Collections Associate,Collections,New York,United States,44000,1,47000,P,,yes,2019,3,FMLA,,Option 1,Master,,
Philadelphia Museum of Art,Curatorial Fellow,,,,"40,000",2018,"40,000",c,,Yes,2019,3,,,,,,
Philadelphia Museum of Art,Office Manager and Production Assistant,,Philadelphia,US,"35,000",2018,"35,000",P,,,2019,3,,,,,,
Smithsonian American Art Museum,IT Specialist,External Affairs and Digital Strategies,"Washington, DC",,"53,989","$2,019.00 ","57,812",,,"Health, Dental, Vision",2019,3,,,,,,
The Metropolitan Museum of Art,Research Scholar,Photograph Conservation,New York,United States,52000,2016,52000,C,,"Health Insurance, Travel stipend (6000)",2019,3,,,,Master degree,J-1 visa paid by the institution,
Union Hall,Gallery Manager,,Denver,United States,"36,000",2019,,,,Full health after 3 months of employment,2019,3,,,,,,
Whitechapel Gallery,Gallery assistant ,,London,Uk,9.44,2019,2019,H/C,22,Sick pay,,3,?,,,,,
[100 employees (Texas)],Technology and Digital Media,,,USA,"$46,000 ","$2,015.00 ","$55,000 ",P,,"health, 401k, vacation time, sick time",2019,4,,,,"bachelor's, master's preferred",,
"[Art Collection, Zurich, Switzerland]",Arthandler,Art Collection,Zurich,Switzerland,40.- Chf./h,2017,40.-Chf/h,H,"H, 1-2 days/week",,20000,4,0,,,,,
"[Art Museum, Connecticut]",Assistant Registrar,Collections,,USA,"$30,000 ","$2,018.00 ",,,,Yes,2019,4,,,,bachelors,,
[Art Museum],Museum Educator,Education,Milwaukee,United States,"$20,000 ","$2,016.00 ","$20,000 ",Hourly,25-40,Yes,2019,4,,,,Bachelors ,,"Salary doesn’t cover the cost of insurance benefits. Hours are not consistent and there have been major miscommunications regarding the pay, hours, and job requirements."
[Auction House],Specialist,,,,"$31,000.00 ","$2,017.00 ","$35,000.00 ",P,,"medical, vision, dental, 401k match",2019,4,,,,,,
[Boston Mid-Sized Museum],Development Manager,Development,Boston,USA,"$32,000 ",2015,"$52,000 ",P,,"15 vacation days starting, 3 personal days ",2019,4,,,,,,
[Chicago Art Museum],Customer Service Staff,,Chicago,US,,,12/hr,Hourly,"Part time, 20 hr per week",No,2019,4,,,,,,
[Gallery - commercial],,,,USA,"42,000","$2,017.00 ","45,000",Permanent,,Partial Health,2019,4,N/A,,,B.A.,Yes,
[Gallery],Archivist,,New York,US,60000,2018,60000,P,,Full medical/dental covered + generous vacation time,2019,4,,,,,,
[history museum (120+ employees)],education manager ,education ,New Orleans,US,"65,000",,"70,000",P,,"Y - medical, dental, vision, 403B matching (after 1 year), short-term disability, group life insurance",2018-2019,4,,,,,,
[intentionally left blank],Operations Manager,,New York,,35000,2016,45000,P,,yes,2019,4,,,,,,
[Intentionally left blank],Assistant project manager,Yout policies ,,Italy,"€560,00",2017,910€,P,30 h/w,No,2019,4,,,,MA,,
"[LOS ANGELES, MID SIZE MUSEUM, 80-100 Employees]",Registrar,Registration,Los Angeles,USA,40000,,47000,H,,,2019,4,,,,,,
[Mid-sized Art Museum in NYC],Early-career professional,Library,New York ,USA,46000,2014,56000,P,,Vacation days; Sick Days; Health Insurance; Pension; Maternity/Paternity Leave; Bereavement Leave,2019,4,Everyone,,Mexican-American,"MLIS, no tuition assistance",none,
[Midsize Art Museum in Western New York],Guest Services,,,US,$8.75/hr,,$11/hr,H,,,2014-2018,4,not specified,,White,BA Art History,,
[Profit Art-Fair with Publication],Associate Editor ,,,United States ,"Freelance work, $12/hour",2016,"27,000",P,,"Healthcare, but does not go into effect for 3 more months. ",2019,4,Never discussed. ,,,BA/BFA,"Never, will turn away foreign applicants if not unpaid interns. ",
[Small Midwest University Museum],Events and Operations Coordinator,,,United States,$10/hr,2009,$13/hr,Hourly (Temp),"Paid for 30, worked 40+",No (considered temporary for 4+ years),2013,4,,,,,,"Scheduled and coordinated 100+ events per year, managed gift shop (including purchasing), managed finances, and was admin."
[Southern California Art Museum],Museum Assistant ,Security,San Diego ,United States,,,13.25,Hourly ,30,None,,4,,,,,,
Albright-Knox Art Gallery,Art Preparator,,Buffalo,USA,$12/HR,"$2,017.00 ","12,000",H/C,24,No,2019,4,Not Known,,,None,N/A,
Belger Arts Center,Middle supervisor ,Education,Kansas City,US,$15/hr @20 hrs/wk,2016,$15/hr @30 hrs/wk,H,H 30,No,2019,4,None,,,Master/equivalent experience,No,
Bonhams,Cataloger,Fine Art,Los Angeles,USA,"39,885","$2,016.00 ","40,000",H,35,"health, dental, life, retirement",2019,4,,,,,,
Conservation Center for Art and Historic Artifacts,Paper Conservator,Paper Conservation,Philadelphia,United States,"39,000","$2,018.00 ","39,000",P,,"Medical, dental, vision",2019,4,,,,Masters of Art Conservation,,
Doyle Auction House,Appraisal Coordinator,Trust and Estaes,New York City,United States,"$40,000 ($20/hour)",2018,"$40,000 ($20/hour)",H ,,"2 weeks vacation, company closed for additional ",2019,4,,,,"BA Art History, MA Art Business or similar",,
freelance photographer,photographer and everything else,,baltimore,USA,5000,2016,25000,freelance,,none,2019,4,,,,none,none,sorry if this isn't exactly what you're looking for! but if it is i hope it helps
Gagosian Gallery,Research Assistant ,Publications,New York ,USA,"$35,000 ",2017,,P,,10 vacation days after 1st year ,,4,,,,Masters,,
Guggenheim,Associate Manager,Development,,US,"$40,000.00 ",,"$49,500.00 ",P,,,2016,4,,,,,,
Metropolitan Museum of Art,Fellow,,New York City,USA,"43,000",2017,"43,000",C,40,"No official benefits, so no taxes withheld or offer to participate in healthcare plans or retirement plans, but $5500 cash provided to offset healthcare costs and $6000 travel stipend",2019,4,Not eligible,,,Masters or PhD,Yes,
Metropolitan Museum of Art,Manager,Retail Sales,New York City,USA,"$21,000 ",2015,"$50,000 ",H (promoted from pt hourly),,"401k, health, dental, vision, retirement",2019,4,,,,,,
Museum of Islamic art,Art handler,Collection Dept.,Doha,Qatar,10.500 Qatari Riyal,2018,10.5,(P),,"Government house, Health Insurance, one round ticket per year",2019,4,,,Option 1,Master degree ,Option 1,
Museum of the Moving Image,Education Program Coordinator,Education,NY,US,"$38,000.00 ",,"$38,000.00 ",,,Yes,2017,4,,,,,,
Petersen Automotive Museum,Assistant Curator ,Curatorial,Los angeles,USA,"$44,000.00 ","$2,017.00 ","$47,000.00 ",H/P,40,Yes,2019,4,"4 weeks paid, 7 months unpaid (per California law)",,,MA,No,
Philadelphia Museum of Art,Visitor Services Assistant FT,Visitor Services,,US,$ 12 / Hour,,no raises available,Full Time Hourly,,Health and Dental,2019,4,,,White,MFA,,"Full time is not the initial nature of the position and there is little clarity on how, when, or if full time will become available."
Philadelphia Museum of Art,Department Assistant,,Philadelphia,USA,$11/hour (part time),2014,$18.37/hour,H/P,,,2019,4,,,,,,
Richard Avedon Foundation,Archive Intern,Archive,NYC,USA,$9 ,2016,$9 ,Hourly,Full-Time,None,2016,4,,,,,,
SFMOMA,Development Assistant,Development,San Francisco,USA,"$48,000 ","$2,017.00 ","$48,000 ",Hourly,,Yes,2017,4,Yes,,,,,
Te Tuhi,Marketing & Communications Coordinator,Marketing,Auckland,New Zealand,"NZ$42,000","$2,015.00 ","NZ$49,990",P,,,2019,4,,,,,,
Urban Outfitters,Lead Digital Technician,"Photography, Marketing, Ecommerce ",Philadelphia,PA,"47,500",2015,"52,000",,,"Health Ins, Dental",2019,4,,,,Bachelors Degree required. If deemed beneficial to the company they might pay for one continuing Ed class but no support for a higher degree. ,,
[Art Museum] ,Education,Education,,USA,"$31,000 ",2014,"$32,000 ",(P),,,,5,,,,,,
[Art Museum] ,Education,Education,,USA,"$31,000 ",2014,"$32,000 ",(P),,,,5,,,,,,
[Auction House],Head of Sale,Photographs,London,UK,"35,000 GBP","$2,018.00 ","35,000 GBP",P,,,2018,5,Bare minimum,,,MA ,,
[Historic site and museum],Site Manager,Natural and Cultural Resources (state),Durham,USA,"39,500",2015,"42,000",P,,"Health, dental, vision, paid leave (no parental leave)",2018,5,"None, unpaid FMLA ",,,"BA required, most applicants had MAs",,
[Historical Society],Registrar,Collections,Seattle area,US,"$36,000/year",2017,"$38,000/year","Full-Time, Permanent ",,"Medical/dental/vision, vacation, sick, retirement plan",2019,5,,,,BA required (MA preferred),,
[Large Midwest Art Museum],Assistant Director,Communications,,,"55,000",2016,"57,500",P,,Yes,2018,5,Use of PTO and FMLA,,,,,
[Large Midwest Art Museum],Conservation Technician,Conservation,,United States,"44,000",2014,"48,000",H,35,Yes,2019,5,,,,,,
[Large Midwestern Museum],Web Content Manager,Marketing,,United States,"47,000","$2,018.00 ","$48,700.00 ",P,,Standard,2019,5,,,White,,,
[Local History],Development Associate,Development,"Redwood City, CA",USA,$20/hr,"$2,015.00 ",$23.80/hr,H,40,Health only,2019,5,Don't know,,,Bachelor's,No,
[MCA Chicago],Curatorial Assistant,Curatorial,Chicago,USA,"$35,000.00 ","$2,018.00 ","$36,250.00 ",P,,"Healthcare, life insurance, dental, vision",2019,5,,,,,,
"[Medium Size Science Museum, Midwest]",Science Educator,,Chicago,,"39,000","$2,017.00 ","44,000",Hourly,35 hr/week,"Health insurance, PTO",2019,5,,,,Bachelors,,
[Mid Atlantic],Assistant Curator,,,,"55,000",2018,"55,000",P,,Yes,2019,5,,,,,,
[Mid-Size Cultural Museum in California],Marketing Manager,Marketing,,United States,"$62,000 ",2015,"$62,000 ",P,,Y,2016,5,,,,,,
[Midsize NYC Museum],Manager of Marketing,Marketing,NYC,United States,"47,000",2017,"62,000",P,,,2019,5,,,,,,
[Northeast Natural History Museum],Curatorial Assistant,Science,,USA,,,"52,000",P,,Full Benefits,2019,5,Yes,,,Master's Degree +,,
"[NYC, Non-Profit Arts Center]",Assistant to Creative Director,Administrative ,NYC,USA,$15/ hr,2014,$17/h,H,24,No ,2018,5,N/A,,,BA,N/A,
[Oregon],Curatorial Assistant,,,United States,0,2018,0,H,15,N,2019,5,No,,,M.A.,No,
[Small Music Non-Profit],Development Coordinator,Development,Durham,NC,"$39,000 ",2017,"$41,000 ",,,Health care,2018,5,no,,,"Bachelors, Masters preferred",no,
[Upstate New York Art Museum],Director of Education,Education,,United States,40000,2018,40000,Permanent,,"403(b), health, dental, vision, vacation/sick time",2019,5,"State mandated, 10 weeks",,,M.A.,,
[Upstate New York Art Museum],Director of Education,Education,,United States,40000,2018,40000,Permanent,,"403(b), health, dental, vision, vacation/sick time",2019,5,"State mandated, 10 weeks",,,M.A.,,
[US Mountain west/ state historic org],Collections manager,Historic artifact collection,,,24.50/ hr,"$2,018.00 ",$24.50 ,P,,Full benefits,2019,5,PTO- FMLA,,,"Bachelors required, Masters preferred",,
[West Coast Science Center - ~100 employees],Development Director - Institutions,Development,,USA,"$110,000 ",2018,"$110,000 ",,,"Health/Dental/Vision, PTO",2019,5,,,,,,
Art Institute of Chicago,Conservation Fellow,Conservation,Chicago,IL,"$47,500 ",2017,"$48,687 ",C,35 hrs/wk,"Yes, different from permanent ",2019,5,,,,MA,,
Artspace,Art Handler/Installer/Technician,Install team,Sydney,Australia,25/h ,2016,25/h,C,40 hours a week for 2-4 weeks every 3-5 months.,superannuation contributions,2019,5,"casual staff ineligible, full time staff eligible ",,white,none,n/a,getting paid legal minimum wage to hang multi million dollar art work that socially and culturally profits three people at the most is a bit shit
Bluecoat,Programme Coordinator,Exhibitions,Liverpool,UK,"£16,500",2016,£16500,"Full time, permanent",,,,5,,,,BA,,
Crystal Bridges Museum of American Art,Assistant Curator,,,USA,"48,000",,"49,000",P,,,2019,5,,,,,,
Field Museum,Collections Assistant,Invertebrates,Chicago,,15,2013,,C,C,Health Insurance,2013,5,Yes,,,"MA, did not help",,
Firstsite (Contemporary Art Gallery),Gallery Assistant/Front of House,Operations,Colchester,"England, UK",Pound Sterling,2015,N/A,£6.70 (H),,NO,2015,5,None,,,,,"This was a Zero Hours contract meaning that some weeks no hours were allocated to individuals, other weeks up to 50 hours were worked by employees. Volunteers replaced paid gallery assistants in 2016 after a restructure."
Gladstone Gallery,Archive Intern,Archive,NYC,USA,$9 ,2017,$9 ,Hourly,Part-time,None,2017,5,,,,,,
History Colorado ,Photo Research & Permissions Librarian,Hart Research Center,Denver,USA,,43500,43500,,,YES,2019,5,,,,,,
Los Angeles County Museum of Art,Manager,Membership,Los Angeles,USA,"65,000",20212,"72,000",P,,,2017,5,,,,,,
Mary Ryan Gallery,Sales Associate,,New York,US,"$43,000.00 ",,"$52,000.00 ",P,,Full benefits,,5,Not identified,,,,,
Metropolitan Museum of Art,Contractual Educator,Education,"New York, NY",USA,,,110 per program,,,,2019,5,,,,,,
Metropolitan museum of art,Receiving ,Mail services,New york,United States ,13.81,5,15.05,Yes,,Yes,25000,5,,,,,,
"Midwest, Academic Art Museum",Assistant Director of Development,Development,,USA,50000,2018,50000,P,,Full benefits ,2019,5,,,,Bachelor’s,,
Museum of Contemporary Art Chicago,Curatorial Fellow,Curatorial,Chicago,US,"35,000",2017,"35,000",,,Health,2018,5,N/A,,,M.A.,,
New-York Historical Society,Social Media Manager,Communications,New York City,USA,"65,000",2019,,,,Yes,2019,5,,,white,BA,,
North Carolina Museum of Art,Web Content Coordinator,Marketing and Communications,Raleigh,United States,"$29,500 ",2017,"31,500",P,,"4% 401k matching, health insurance, dental insurance, vision insurance, 9.2 hours vacation and 8 hours sick time earned per month.",2019,5,,,White,4-year college degree,,Non-profit art museum
Parkett,Assistant Editor,,New York,USA,,,"35,000",P,,health insurance,1996,5,,,,,,
Pennsylvania Academy of Fine Art,Art Educatior,Education,Philadelphia,United States,$13/hr,2019,$13/hr,H,40,,2019,5,,,,Bachelors,,
Philadelphia Art Museum  / Freelance ,Art Handler / Preparator ,,Philadelphia,United States,16 per hour,2017,18 to 20  per hour,H,"12-45 hours per week  (limit no more than 1,456 hours per year at some institutions) ",no,2019,5,,,,,,
Portland Art Museum,Control Room Officer,Security,Portland,USA,20000,2014,24000,H,35,"401(k), sick time, flexible holiday, vacation, dental, medical",2019,5,Parents have unpaid leave under Medical Leave Act,,,,,
Smithsonian Institution,Program Assistant,,"Washington, DC",USA,35k,2017,35k,"Full time, 40 hours a week ",,Yes,2019,5,,,,Bachelors Degree,,
Smithsonian National Portrait Gallery,Public Affairs Specialist,Communications ,"Washington, D.C. ",,"59,983",2018,"59,983",,,,,5,,,white,,,
The Colonial Williamsburg Foundation,Post-Graduate Fellow,Conservation,Williamsburg,United States,"$31,500 ",2018,"$31,500 ",H/C,37.5,"Health, dental",2019,5,12 weeks unpaid FMLA after all vacation & sick time is exhausted,,,Masters degree,n/a,
The Frick Collection,Visitor Services ,Visitor Services ,New York City,US ,$15/hour ,"$2,018.00 ",$15/hour,H,24 hours/week,None ,2019,5,,,,,,
The Henry Ford ,Associate Curator,Historical Resources ,Dearborn,,"42,000",2016,"45,000",,,"Health insurance, 401k, etc.",2019,5,,,,,,
The Metropolitan Museum of Art,Editor,,New York,USA,"65,000",2017,"66,300",P,,"Medical, vision, dental, 403B",2019,5,Paternal & maternal,,White,BA / BFA required,N/A,
